x,y
0.0,2.34
1.01,4.89
2.02,8.12
3.03,9.45
4.04,11.78
5.05,15.23
6.06,17.89
7.07,18.34
8.08,21.67
9.09,24.12
10.1,27.45
11.11,28.89
12.12,32.34
13.13,35.67
14.14,37.12
15.15,40.45
16.16,43.89
17.17,45.34
18.18,49.67
19.19,51.12
20.2,55.45
21.21,57.89
22.22,61.34
23.23,63.67
24.24,67.12
25.25,70.45
26.26,72.89
27.27,76.34
28.28,79.67
29.29,81.12
30.3,85.45
31.31,88.89
32.32,90.34
33.33,94.67
34.34,97.12
35.35,100.45
36.36,103.89
37.37,106.34
38.38,109.67
39.39,112.12
40.4,116.45
41.41,118.89
42.42,122.34
43.43,125.67
44.44,127.12
45.45,131.45
46.46,134.89
47.47,137.34
48.48,140.67
49.49,143.12
50.5,147.45
51.51,149.89
52.52,153.34
53.53,156.67
54.54,159.12
55.55,162.45
56.56,166.89
57.57,168.34
58.58,172.67
59.59,175.12
60.6,179.45
61.61,181.89
62.62,185.34
63.63,188.67
64.64,191.12
65.65,195.45
66.66,198.89
67.67,200.34
68.68,204.67
69.69,207.12
70.7,211.45
71.71,213.89
72.72,217.34
73.73,220.67
74.74,223.12
75.75,227.45
76.76,230.89
77.77,233.34
78.78,236.67
79.79,239.12
80.8,243.45
81.81,246.89
82.82,249.34
83.83,252.67
84.84,255.12
85.85,259.45
86.86,262.89
87.87,265.34
88.88,268.67
89.89,271.12
90.9,275.45
91.91,278.89
92.92,281.34
93.93,284.67
94.94,287.12
95.95,291.45
96.96,294.89
97.97,297.34
98.98,300.67
99.99,303.12
